Here is the integrated table resulting from the Select-Project-Join-Union queries using a subset of tables from the data lake to reproduce the example table:

| partkey | availqty | supplycost | ps_comment |
|---------|----------|------------|------------|
| 211     | 6045     | 856.97     | ironic multipliers sleep. furiously express requests wake quickly. regular dependencies along the dinos sleep after the epitaphs. quietly unusual deposits haggle blith |
| 363     | 968      | 413.65     | es. ironic foxes after the regular pinto beans wake even deposits. carefully pending platelets use after the quick, final excuses. quickly regular asym |
| 368     | 1356     | 388.64     | eans integrate blithely pending requests. furiously even theodolites print ironic sauternes. carefully bold ideas nod slyly unusual foxes. slyly special pin |
| 479     | 7560     | 777.28     | cbdeusotrl |
| 490     | 7994     | 17.68      | nvmzdqakcm |
| 604     | 2194     | 980.46     | eposits across the blithely even deposits use careful |
| 786     | 7441     | 361.62     | the final, bold pinto beans haggle blithely special, unusual accounts. slyly express t |
| 950     | 7713     | 46.69      | instructions nag furiously thin, even ideas. furiously ironic foxes use. furiously pending packages sleep slyly through |
| 1321    | 6715     | 819.86     | ooetfgwtkq |
| 1420    | 3366     | 253.65     | fogzvudatm |
| 2159    | 5955     | 100.87     | blithely furious somas. slyly final ideas sleep blithely pending foxes. carefully pending somas sleep unusual, bold pinto beans: asymptotes haggle furiously among the blithely eve |
| 2271    | 2013     | 37.57      | try to wake above the furiously regular deposits. even deposits are blithely ab |
| 2711    | 5467     | 831.28     | raawyrgmmp |
| 2863    | 2810     | 233        | ronic foxes. express packages are carefully above the slyly ironic instructions. carefully regular deposits may grow according to the dogged deposits. slyly pending deposits cajole furiously. ironi |
| 2868    | 62       | 916.89     | ding to the blithely regular dependencies. daringly bold packages haggle furiously. unusual, ir |
| 2979    | 3661     | 452.34     | ions. final dependencies are blithely ironic, ironic accounts. fluffily regular instructions sleep blit |
